Key,Message,Component,Line
"AZkUSv17S4VhJojFFCry","Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.","rocket-meals_rocket-meals:apps/backend-sync/src/index.ts",49
"AZkUSv2fS4VhJojFFCr_","Remove this commented out code.","rocket-meals_rocket-meals:apps/backend-sync/src/DirectusDatabaseSync.ts",55
"AZkUSv2fS4VhJojFFCsA","Remove this commented out code.","rocket-meals_rocket-meals:apps/backend-sync/src/DirectusDatabaseSync.ts",64
"AZkUSv2fS4VhJojFFCsB","Remove this commented out code.","rocket-meals_rocket-meals:apps/backend-sync/src/DirectusDatabaseSync.ts",129
"AZkUSv2VS4VhJojFFCr4","Make this public static property readonly.","rocket-meals_rocket-meals:apps/backend-sync/src/DockerDirectusHelper.ts",2
"AZkUSv2VS4VhJojFFCr5","Remove this commented out code.","rocket-meals_rocket-meals:apps/backend-sync/src/DockerDirectusHelper.ts",7
"AZkUSv25S4VhJojFFCsN","Make this public static property readonly.","rocket-meals_rocket-meals:packages/common/src/ServerHelper.ts",6
"AZkUSv25S4VhJojFFCsO","Make this public static property readonly.","rocket-meals_rocket-meals:packages/common/src/ServerHelper.ts",10
"AZkUSv25S4VhJojFFCsP","Make this public static property readonly.","rocket-meals_rocket-meals:packages/common/src/ServerHelper.ts",14
"AZkUSv2nS4VhJojFFCsD","Merge this RUN instruction with the consecutive ones.","rocket-meals_rocket-meals:apps/backend-sync/Dockerfile",4
"AZkUSv2nS4VhJojFFCsE","Remove cache after installing packages or store it in a cache mount.","rocket-meals_rocket-meals:apps/backend-sync/Dockerfile",4
"AZkUSv2nS4VhJojFFCsJ","Split this RUN instruction line into multiple lines.","rocket-meals_rocket-meals:apps/backend-sync/Dockerfile",7
"AZkUSv2nS4VhJojFFCsF","Remove cache after installing packages or store it in a cache mount.","rocket-meals_rocket-meals:apps/backend-sync/Dockerfile",8
"AZkUSv2NS4VhJojFFCr1","Make this public static property readonly.","rocket-meals_rocket-meals:apps/backend-sync/src/DockerContainerManager.ts",8
"AZkUSv2ES4VhJojFFCr0","Remove this commented out code.","rocket-meals_rocket-meals:apps/backend-sync/src/DockerDirectusPingHelper.ts",7
"AZkUSvkMS4VhJojFFCYK","Make this public static property readonly.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/helpers/DirectusTestServerSetup.ts",52
"AZkUSvkMS4VhJojFFCYL","Make this public static property readonly.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/helpers/DirectusTestServerSetup.ts",53
"AZkUSvkMS4VhJojFFCYP","Handle this exception or don't catch it at all.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/helpers/DirectusTestServerSetup.ts",330
"AZkUSvysS4VhJojFFCkF","Unnecessary escape character: \/.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/auto-translation-hook/DeepLTranslator.ts",59
"AZkUSvyXS4VhJojFFCjE","Expected a `for-of` loop instead of a `for` loop with this simple iteration.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/auto-translation-hook/DirectusCollectionTranslator.ts",49
"AZkUSvyXS4VhJojFFCjJ","Refactor this function to reduce its Cognitive Complexity from 71 to the 15 allowed.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/auto-translation-hook/DirectusCollectionTranslator.ts",90
"AZkUSvyXS4VhJojFFCjs","Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/auto-translation-hook/DirectusCollectionTranslator.ts",384
"AZkUSvuoS4VhJojFFCe7","Rename class ""Cashregisters_SWOSY"" to match the regular expression ^[A-Z][a-zA-Z0-9]*$.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/cashregister-hook/Cashregisters_SWOSY.ts",22
"AZkUSvuoS4VhJojFFCe9","Refactor this function to reduce its Cognitive Complexity from 30 to the 15 allowed.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/cashregister-hook/Cashregisters_SWOSY.ts",72
"AZkUSv0MS4VhJojFFClh","Refactor this function to reduce its Cognitive Complexity from 129 to the 15 allowed.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/file-cleanup-hook/index.ts",47
"AZkUSv0MS4VhJojFFClj","Redundant double negation.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/file-cleanup-hook/index.ts",52
"AZkUSvotS4VhJojFFCZV","Make this public static property readonly.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/food-feedback-report-schedule/ReportGenerator.ts",14
"AZkUSvotS4VhJojFFCZW","Make this public static property readonly.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/food-feedback-report-schedule/ReportGenerator.ts",15
"AZkUSvotS4VhJojFFCZX","Make this public static property readonly.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/food-feedback-report-schedule/ReportGenerator.ts",16
"AZkUSvotS4VhJojFFCZc","Prefer using nullish coalescing operator (`??=`) instead of an assignment expression, as it is simpler to read.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/food-feedback-report-schedule/ReportGenerator.ts",151
"AZkUSvotS4VhJojFFCZd","Prefer using nullish coalescing operator (`??=`) instead of an assignment expression, as it is simpler to read.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/food-feedback-report-schedule/ReportGenerator.ts",155
"AZkUSvotS4VhJojFFCZe","Prefer using nullish coalescing operator (`??=`) instead of an assignment expression, as it is simpler to read.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/food-feedback-report-schedule/ReportGenerator.ts",160
"AZkUSvotS4VhJojFFCZf","Prefer using nullish coalescing operator (`??=`) instead of an assignment expression, as it is simpler to read.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/food-feedback-report-schedule/ReportGenerator.ts",164
